#  wl(um)    flux(Jy)  eflux(Jy) 
   5.21725   0.011314   0.000084 
   5.24749   0.011311   0.000081 
   5.27773   0.011381   0.000080 
   5.30797   0.011854   0.000095 
   5.33821   0.011767   0.000072 
   5.36846   0.011458   0.000077 
   5.39870   0.011072   0.000081 
   5.42894   0.011182   0.000076 
   5.45918   0.011300   0.000072 
   5.48942   0.011264   0.000065 
   5.51967   0.011154   0.000067 
   5.54991   0.010963   0.000069 
   5.58015   0.011026   0.000094 
   5.61039   0.011106   0.000067 
   5.64063   0.011076   0.000065 
   5.67088   0.010940   0.000080 
   5.70112   0.010597   0.000068 
   5.73136   0.010483   0.000069 
   5.76160   0.010655   0.000064 
   5.79184   0.010704   0.000065 
   5.82209   0.010448   0.000070 
   5.85233   0.010623   0.000075 
   5.88257   0.010595   0.000087 
   5.91281   0.010597   0.000077 
   5.94305   0.010508   0.000072 
   5.97330   0.010609   0.000086 
   6.00354   0.010671   0.000084 
   6.03378   0.010615   0.000086 
   6.06402   0.010670   0.000072 
   6.09426   0.010964   0.000068 
   6.12451   0.011051   0.000067 
   6.15475   0.010784   0.000072 
   6.18499   0.010750   0.000080 
   6.21523   0.010959   0.000066 
   6.24547   0.010903   0.000071 
   6.27572   0.010975   0.000081 
   6.30596   0.011052   0.000079 
   6.33620   0.010928   0.000118 
   6.36644   0.010681   0.000109 
   6.39668   0.010192   0.000094 
   6.42693   0.010056   0.000085 
   6.45717   0.009586   0.000089 
   6.48741   0.008909   0.000091 
   6.51765   0.009056   0.000118 
   6.54789   0.008915   0.000129 
   6.57814   0.008580   0.000095 
   6.60838   0.008239   0.000126 
   6.63862   0.008447   0.000088 
   6.66886   0.008509   0.000083 
   6.69910   0.008800   0.000092 
   6.72935   0.008868   0.000079 
   6.75959   0.008837   0.000089 
   6.78983   0.008501   0.000091 
   6.82007   0.008342   0.000091 
   6.85031   0.008375   0.000096 
   6.88056   0.008716   0.000106 
   6.91080   0.008815   0.000110 
   6.94104   0.008825   0.000129 
   6.97128   0.008805   0.000140 
   7.00152   0.008638   0.000137 
   7.03177   0.008431   0.000124 
   7.06201   0.008449   0.000153 
   7.09225   0.008562   0.000140 
   7.12249   0.008252   0.000108 
   7.15273   0.008380   0.000108 
   7.18298   0.008473   0.000146 
   7.21322   0.008167   0.000130 
   7.24346   0.008296   0.000124 
   7.27370   0.008432   0.000129 
   7.30394   0.008355   0.000126 
   7.33419   0.008330   0.000122 
   7.36443   0.008264   0.000122 
   7.39467   0.008133   0.000140 
   7.42491   0.007720   0.000131 
   7.45515   0.007718   0.000146 
   7.48540   0.007849   0.000174 
   7.51564   0.007737   0.000079 
   7.57612   0.007734   0.000080 
   7.63660   0.007519   0.000081 
   7.69709   0.007427   0.000076 
   7.75757   0.007243   0.000062 
   7.81805   0.007078   0.000066 
   7.87854   0.006668   0.000062 
   7.93902   0.006470   0.000053 
   7.99951   0.006288   0.000051 
   8.05999   0.006105   0.000048 
   8.12047   0.005844   0.000051 
   8.18096   0.005560   0.000047 
   8.24144   0.005251   0.000045 
   8.30192   0.005072   0.000045 
   8.36241   0.004946   0.000044 
   8.42289   0.004837   0.000044 
   8.48337   0.004716   0.000043 
   8.54386   0.004567   0.000046 
   8.60434   0.004575   0.000052 
   8.66483   0.004479   0.000049 
   8.72531   0.004373   0.000050 
   8.78579   0.004192   0.000049 
   8.84628   0.004100   0.000053 
   8.90676   0.004140   0.000053 
   8.96724   0.004060   0.000051 
   9.02773   0.004114   0.000052 
   9.08821   0.003974   0.000062 
   9.14869   0.004056   0.000057 
   9.20918   0.004033   0.000051 
   9.26966   0.004033   0.000051 
   9.33015   0.004039   0.000049 
   9.39063   0.004094   0.000052 
   9.45111   0.004032   0.000073 
   9.51160   0.004040   0.000056 
   9.57208   0.004060   0.000052 
   9.63256   0.004087   0.000054 
   9.69305   0.004119   0.000056 
   9.75353   0.004157   0.000065 
   9.81401   0.004116   0.000059 
   9.87450   0.004141   0.000053 
   9.93498   0.004234   0.000048 
   9.99547   0.004227   0.000043 
  10.05595   0.004342   0.000049 
  10.11643   0.004388   0.000051 
  10.17692   0.004289   0.000046 
  10.23740   0.004258   0.000043 
  10.29788   0.004349   0.000044 
  10.35837   0.004375   0.000047 
  10.41885   0.004383   0.000049 
  10.47933   0.004409   0.000049 
  10.53982   0.004376   0.000053 
  10.60030   0.004341   0.000054 
  10.66079   0.004392   0.000052 
  10.72127   0.004383   0.000052 
  10.78175   0.004387   0.000054 
  10.84224   0.004362   0.000057 
  10.90272   0.004383   0.000059 
  10.96320   0.004351   0.000057 
  11.02369   0.004444   0.000061 
  11.08417   0.004383   0.000065 
  11.14465   0.004417   0.000070 
  11.20514   0.004385   0.000072 
  11.26562   0.004350   0.000072 
  11.32611   0.004460   0.000069 
  11.38659   0.004451   0.000064 
  11.44707   0.004398   0.000063 
  11.50756   0.004417   0.000077 
  11.56804   0.004294   0.000070 
  11.62852   0.004268   0.000072 
  11.68901   0.004203   0.000072 
  11.74949   0.004114   0.000068 
  11.80997   0.004141   0.000072 
  11.87046   0.004139   0.000072 
  11.93094   0.004251   0.000076 
  11.99143   0.004226   0.000073 
  12.05191   0.004074   0.000069 
  12.11239   0.004090   0.000072 
  12.17288   0.003871   0.000076 
  12.23336   0.003969   0.000069 
  12.29384   0.003867   0.000071 
  12.35433   0.003773   0.000070 
  12.41481   0.003845   0.000065 
  12.47529   0.003791   0.000064 
  12.53578   0.003590   0.000066 
  12.59626   0.003633   0.000070 
  12.65675   0.003721   0.000075 
  12.71723   0.003783   0.000077 
  12.77771   0.003750   0.000068 
  12.83820   0.003664   0.000069 
  12.89868   0.003605   0.000069 
  12.95916   0.003644   0.000070 
  13.01965   0.003622   0.000076 
  13.08013   0.003546   0.000077 
  13.14061   0.003541   0.000080 
  13.20110   0.003598   0.000094 
  13.26158   0.003547   0.000090 
  13.32206   0.003476   0.000093 
  13.38255   0.003634   0.000087 
  13.44303   0.003515   0.000089 
  13.50352   0.003450   0.000092 
  13.56400   0.003513   0.000097 
  13.62448   0.003605   0.000099 
  13.68497   0.003508   0.000120 
  13.74545   0.003370   0.000107 
  13.80593   0.003531   0.000101 
  13.86642   0.003313   0.000096 
  13.92690   0.003250   0.000103 
  13.98738   0.003348   0.000105 
  14.04787   0.003385   0.000119 
  14.10835   0.003228   0.000125 
  14.16884   0.003312   0.000111 
